SD29L,,,
,,,
Pin,Type,Name,Side
1,un,1,bottom
2,un,2,bottom
3,un,3,bottom
4,un,4,bottom
5,un,5,bottom
6,un,6,bottom
7,un,7,bottom
8,un,8,bottom
9,un,9,bottom
10,un,10,bottom
11,un,11,bottom
12,un,12,bottom
13,un,13,bottom
14,un,14,bottom
15,un,15,bottom
16,un,16,bottom
17,un,17,bottom
18,un,18,bottom
19,un,19,bottom
20,un,20,bottom
21,un,21,bottom
22,un,22,bottom
23,un,23,bottom
24,un,24,bottom
25,un,25,bottom
26,un,26,bottom
27,un,27,bottom
28,un,28,bottom
29,un,29,bottom
30,un,30,bottom
50,un,50,right
49,un,49,right
48,un,48,right
47,un,47,right
46,un,46,right
45,un,45,right
44,un,44,right
43,un,43,right
42,un,42,right
41,un,41,right
40,un,40,right
39,un,39,right
38,un,38,right
37,un,37,right
36,un,36,right
35,un,35,right
34,un,34,right
33,un,33,right
32,un,32,right
31,un,31,right
80,un,80,top
79,un,79,top
78,un,78,top
77,un,77,top
76,un,76,top
75,un,75,top
74,un,74,top
73,un,73,top
72,un,72,top
71,un,71,top
70,un,70,top
69,un,69,top
68,un,68,top
67,un,67,top
66,un,66,top
65,un,65,top
64,un,64,top
63,un,63,top
62,un,62,top
61,un,61,top
60,un,60,top
59,un,59,top
58,un,58,top
57,un,57,top
56,un,56,top
55,un,55,top
54,un,54,top
53,un,53,top
52,un,52,top
51,un,51,top
81,un,81,left
82,un,82,left
83,un,83,left
84,un,84,left
85,un,85,left
86,un,86,left
87,un,87,left
88,un,88,left
89,un,89,left
90,un,90,left
91,un,91,left
92,un,92,left
93,un,93,left
94,un,94,left
95,un,95,left
96,un,96,left
97,un,97,left
98,un,98,left
99,un,99,left
100,un,100,left
