H83297-DP64,,,
,,,
Pin,Type,Name,Side
1,un,P4-0/~ADTRG~/~IRQ2~,left
2,un,P4-1/~IRQ1~,left
3,un,P4-2/~IRQ0~,left
4,un,P4-3/~RD~,left
5,un,P4-4/~WR~,left
6,un,P4-5/~AS~,left
7,un,P4-6/PHI,left
8,un,P4-7/~WAIT~,left
9,un,P5-0/TxD,left
10,un,P5-1/RxD,left
11,un,P5-2/SCK,left
12,un,~RES~,left
13,un,~NMI~,left
14,un,Vcc,left
15,un,~STBY~,left
16,un,Vss,left
17,un,XTAL,left
18,un,EXTAL,left
19,un,MD1,left
20,un,MD0,left
21,un,AVss,left
22,un,P7-0/AN0,left
23,un,P7-1/AN1,left
24,un,P7-2/AN2,left
25,un,P7-3/AN3,left
26,un,P7-4/AN4,left
27,un,P7-5/AN5,left
28,un,P7-6/AN6,left
29,un,P7-7/AN7,left
30,un,Avcc,left
31,un,P6-0/FTCI/TMCI0,left
32,un,P6-1/FTOA,left
64,un,P3-7/D7,right
63,un,P3-6/D6,right
62,un,P3-5/D5,right
61,un,P3-4/D4,right
60,un,P3-2/D3,right
59,un,P3-2/D2,right
58,un,P3-1/D1,right
57,un,P3-0/D0,right
56,un,P1-0/A0,right
55,un,P1-1/A1,right
54,un,P1-2/A2,right
53,un,P1-3/A3,right
52,un,P1-4/A4,right
51,un,P1-5/A5,right
50,un,P1-6/A6,right
49,un,P1-7/A7,right
48,un,Vss,right
47,un,P2-0/A8,right
46,un,P2-1/A9,right
45,un,P2-2/A10,right
44,un,P2-3/A11,right
43,un,P2-4/A12,right
42,un,P2-5/A13,right
41,un,P2-6/A14,right
40,un,P2-7/A15,right
39,un,Vcc,right
38,un,P6-7/TMO1,right
37,un,P6-6/FTOB/TMRI1,right
36,un,P6-5/FTID/TMCI1,right
35,un,P6-4/FTIC/TMO0,right
34,un,P6-3/FTIB/TMRI0,right
33,un,P6-2/FTIA,right
